142; 12%, 6%, 4%, 6%, 2%, 0%, 1%, 3%, 3%, 1%, 0%, 6%, 2%, 8%, 0%, 26%, 14%, Other 0% No preference 4%, 
137; 12%, 8%, 1%, 5%, 6%, —, 3%, 8%, 1%, 4%, 0%, 3%, 1%, 8%, 1%, 24%, 7%, Wouldn't vote 8%, 
21; 6%, 7%, 6%, 21%, 5%, —, 0%, 1%, 3%, —, 1%, 13%, —, 36%, Undecided 1% Other 1%, 
251; 11%, 14%, 20%, —, 4%, 17%, —, 10%, 10%, 3%, 3%, Other/Not sure 9%, 
174; 9%, 11%, 4%, 5%, 2%, 2%, 8%, 1%, 1%, 0%, 6%, 4%, 9%, 3%, 2%, 10%, Other 0% No one 2% Undecided 20%, 
138; 11%, 9%, 4%, 4%, 3%, —, 1%, 4%, 1%, 3%, 0%, 5%, 1%, 6%, 1%, 32%, 6%, Other 1% Undecided 8%, 
93; 7%, 22%, 3%, 5%, 7%, 0%, —, 6%, 1%, 1%, 0%, 4%, 8%, —, 26%, Other 1% Would not vote 1% Don't know 8%, 
250; 11%, 13%, 10%, 3%, —, 17%, —, 12%, 10%, —, 4%, Don't know 20%, 
175; 12%, 10%, 7%, 8%, 2%, 3%, 12%, —, —, 3%, 8%, —, 8%, 5%, 4%, 10%, Wouldn't vote 9%, 
139; 7%, 11%, 1%, 13%, 8%, —, 1%, 5%, 1%, 2%, 0%, 5%, 2%, 8%, 0%, 23%, 7%, , 
92; 7%, 13%, 4%, 5%, 6%, —, 1%, 2%, 0%, 4%, 1%, 3%, 10%, 1%, 31%, Other 2% Undecided 10%, 
253; 16%, 21%, —, —, —, 15%, —, 18%, 13%, —, 6%, Other 3% Not Sure 8%, 
208; 13%, 12%, 7%, —, —, —, —, —, 7%, 5%, 24%, 5%, —, 11%, Other 4% Undecided 12%, 
176; 8%, 10%, 5%, 7%, 7%, 5%, 7%, 1%, 2%, 0%, 9%, 2%, 10%, 4%, —, 7%, Other 2% No preference 14%, 
91; 14%, 17%, 3%, 4%, 7%, 0%, 0%, 4%, 0%, 1%, 0%, 4%, 7%, 0%, 31%, Wouldn't vote 7%, 
252; 10%, 17%, 7%, —, —, 13%, 6%, 9%, 16%, 5%, —, Other 6% None/no-one 4% Not sure 6%, 
209; 12%, 10%, 3%, 9%, 0%, 8%, —, —, 8%, 2%, 28%, 2%, —, 6%, Paul Ryan 3% Other 3% No preference 6%, 
177; 12%, 11%, 5%, 8%, 2%, 2%, 6%, 1%, 2%, 2%, 9%, 4%, 7%, 2%, 4%, 12%, Other 1% None of the above 2% Don't know 10%, 
90; 6%, 21%, 3%, 9%, 6%, —, —, 2%, 0%, 2%, 0%, 4%, 8%, 1%, 27%, Don't know 11%, 
