 July 18–20, 2014
 June 27–29, 2014
 June 24–30, 2014
 May 28 – June 4, 2014
 May 29 – June 1, 2014
 May 2–4, 2014
 April 25–27, 2014
 April 13–15, 2014
 April 7–10, 2014
 March 18–20, 2014
 March 7–9, 2014
 March 6–9, 2014
 March 6–9, 2014
 February 4–9, 2014
 February 4–9, 2014
 January 31 – February 2, 2014
 January 23–26, 2014
 January 23–26, 2014
 January 20–23, 2014
 January 15–19, 2014
 January 12–14, 2014
 December 14–16, 2013
 December 12–15, 2013
 December 12–15, 2013
 December 9–15, 2013
 December 3–9, 2013
 December 3–5, 2013
 November 18–20, 2013
 November 7–10, 2013
 November 7–8, 2013
 October 29–31, 2013
 October 29–31, 2013
 September 23–29, 2013
 September 23–29, 2013
 September 25–26, 2013
 September 6–8, 2013
 August 1–2, 2013
 July 19– 21, 2013
 July 15– 18, 2013
 May 6– 9, 2013
 April 22– 28, 2013
 March 26– April 1, 2013
 March 27– 30, 2013
 January 31 – February 3, 2013
 January 3–6, 2013
 November 30 – December 2, 2012
 April 12–15, 2012
